sent_id	id1	id2	out1	out2	label
389	632	214	WOMAC Pain, Physical Function and Total scores	the proportion of MCIIs	0
756	1936	58	Autism Treatment Evaluation Checklist (ATEC) total score and subscale scores, based on the parent's or primary caretaker's rating	sensory/cognitive awareness	0
375	624	261	the percentage of responders according to American College of Rheumatology 50 criteria	swollen 28-joint count	0
518	808	489	incidence of vaginal delivery within 12 and 24 hours	delivered within 12 hours (57.5% vs 32.5%, p < 0.01) and 24 hours (98.7% vs 91.4%, p < 0.05)	1
675	1811	502	the overall between-patient variability around the mean time to neurological assessment	mean neurological assessment times	1
267	1333	353	sexual activity	the extent to which people were bothered by the impact of kidney disease on their sex life	0
234	399	1099	biochemically verified 7-day point prevalence smoking abstinence defined as no cigarettes (not even a puff) in the previous 7 days at Week 26, validated using salivary cotinine collected at Week 26	smoked an average of 8.0 cigarettes per day	0
96	1122	88	days alive and off assisted breathing	TLC	0
187	1271	79	change in nutrition knowledge scores	Mean total nutrition knowledge score	1
652	974	287	the percent of subjects meeting TR during the initial 30 minutes of treatment	likely to reach the physician-specified SBP target range within 30 minutes	0
59	273	1004	Client Satisfaction Questionnaire (CSQ)	alliance	0
103	1128	944	time from the commencement of study drug to extubation	reintubated	0
145	1200	1	Anthropometry at birth	the proportion of stunting	0
535	814	650	to decrease reintubation rates, defined by the necessity of mechanical positive-pressure ventilation through orotracheal intubation in the first 48 hours after extubation, in the treatment group	Mean ICU length of stay after extubation	0
448	1512	1049	more frequently interrupted MARS sessions without anticoagulation	the likelihood of completed MARS treatment	1
575	1659	314	response rate	cost-effective	0
111	210	856	control criteria during the 2-year follow-up period	the compliance in all the control criteria, except for LDL cholesterol	1
366	597	245	a decrease in carer burden in the intervention group three months after receiving the DA	burden	1
158	1394	627	the cure-markedly effective rate	the cure-markedly effective rates	1
24	33	985	composite death, reinfarction, stroke, or new myocardial ischemia	risk of recurrent ischemia	0
96	141	192	coma recovery time	Time to regain consciousness	1
594	897	564	improvement of GHbA 1c and the SF-36 quality of life score	GHbA 1c	0
106	161	854	HbA1c, lipid levels, blood pressure, BMI after 24 months of follow-up	systolic blood pressure (SBP) levels	0
61	317	1002	the ORS scale	alliance	0
691	1834	792	The MC exam	the MC exam	1
323	1391	212	the proportion of delivered compressions within target depth compared over a 2-minute period within the groups and between the groups	median values for proportion of delivered compressions within target depth	1
108	161	856	HbA1c, lipid levels, blood pressure, BMI after 24 months of follow-up	SBP levels	0
26	1039	155	intestinal volume	total amount of CO 2 insufflation	0
643	1782	878	Trough FEV 1 after 12 weeks of treatment	Trough FEV 1 after one dose	1
480	742	232	the duration of fluid fast prior to induction of anaesthesia	fluid fasting	1
673	999	1032	Chlamydia screening rates	completed at least one module	0
177	1241	148	the duration of severe neutropenia (DSN) in cycle 1	DSN	1
684	1816	852	pain and disability	pain	0
327	1402	127	the patient assessment of spinal pain (100-mm VAS), patient global assessment of disease activity (100-mm VAS), and the Bath Ankylosing Spondylitis Functional Index (100-mm VAS)	the NNTs	0
223	1284	693	the volume of blood loss between T1 and T4	maternal morbidity	0
387	1697	712	the change in IOP from baseline to week 4 at 8 a.m. and 4 p.m. for the per protocol (PP) population using a "worse eye" analysis	Mean baseline IOP levels	0
277	475	666	the shortened version of the Chedoke Arm & Hand Activity Inventory (CAHAI-7)	effective	0
649	974	284	the percent of subjects meeting TR during the initial 30 minutes of treatment	rates of five and six instances within TR	0
130	1878	826	the 17-item HAM-D	dry mouth	0
341	1421	164	the rate of renal involvement at one year	the risk of renal involvement	1
20	420	1043	detection of bilateral aerated middle ears (confirmed with tympanometry) at two consecutive monthly visits	NCHi	0
75	428	678	change in BMD between pre-treatment and 16 weeks	BMD	1
716	1862	925	knee range of motion (ROM)	ROM	1
457	1518	544	pain catastrophising	efficacy	0
60	317	1001	the ORS scale	alliance	0
267	1333	353	sexual activity	sexual activity	1
374	1445	808	The AIMS2 walking and bending sub-scale	quality of life	0
6	0	1012	the horizontal VAS according to Jensen	VAS	1
100	158	806	the mean number of detected polyps	The overall rate of polyp detection	0
385	627	318	the ovicidal effect of the treatments, defined as no nymphal lice emerging from eggs between treatments	the level of community engagement	0
718	1862	927	pain severity and knee range of motion (ROM)	fared significantly better clinically	0
241	406	265	a dichotomous measure (occurrence of low back pain)	 whether a Soldier received the physical/USI examination	0
359	1436	649	gastric emptying T half	postprandial triacylglycerol	0
176	257	1082	adherence	Participation	0
176	257	1082	participation	Participation	1
458	712	378	change in urinary HRQOL at 3 months	PSA nadir	0
758	1936	60	changes compared to baseline observed after 4 weeks (40 sessions) of treatment, in parallel groups, on (1) Aberrant Behavior Checklist–Community (ABC) total score and subscale scores, based on the parent's or primary caretaker's rating, (2) Autism Treatment Evaluation Checklist (ATEC) total score and subscale scores, based on the parent's or primary caretaker's rating, and (3) Clinical Global Impression–Improvement (CGI) scale for changes in overall functioning and subscales, as rated by the parent or primary caretaker and also as rated separately by the treating physician (without knowledge of the parental ratings)	sensory/cognitive awareness	0
342	1423	358	differences in screening interest	screening interest	1
117	1145	1055	the number of additional donors deferred by the HQ	deferred by the DHAQ	0
158	224	1067	foot function	general foot health	0
460	1519	661	PASI-75	PSA	0
597	913	247	induction of labour	augmentation of labour	0
203	1273	124	the percentage of patients who had a CSTE	numbers of transfusions	0
641	965	28	lung function	Asthma Quality of Life Questionnaire mean difference	0
59	1078	407	the rate of response to PRGF	effusion	0
148	1205	328	Rate of change in [Na]	the volume of additional isotonic fluids given	0
59	1078	407	the rate of response to PRGF	minor adverse events	0
59	273	1004	Treatment Alliance Scale (TAS)	alliance	1
578	1660	642	The number of destroyed alveolar attachments, expressed as a percentage over the total number of alveolar attachments,	the bronchodilatory effect of lung inflation	0
640	1773	708	changes in the mean FEV 1 , PEF, and ACT scores	FEV 1	0
175	257	1081	adherence	adherence	1
36	1062	316	the comparison of the scores on the 12-Item Short-Form Health Survey (SF-12) and the Graded Chronic Pain Scale (GCPS) questionnaire for the two survey modes	missing data	0
521	808	492	time from induction to delivery and incidence of vaginal delivery within 12 and 24 hours	an unexplained stillbirth	0
645	970	643	Difference in plasma bone marker concentration between treatment groups	bone marker concentrations	1
91	1845	754	the effect on markers of bone turnover at 24 weeks	the level of serum procollagen type I N-terminal propeptide (PINP), a marker of bone formation,	0
295	501	311	disease-free survival (DFS) at three years	Grades 3 and 4 toxicities	0
141	1198	917	utilization rates	number of outpatient visits per patient	0
766	1979	933	an injury surveillance with a missed match injury definition	weeks missed due to non-contact knee injuries	0
666	1790	1025	severity of mental health symptoms measured using the Hospital Anxiety and Depression Scale (HADS) 23	total costs	0
532	814	647	to decrease reintubation rates, defined by the necessity of mechanical positive-pressure ventilation through orotracheal intubation in the first 48 hours after extubation, in the treatment group	used NIV	0
592	1701	530	intra-operative pain	anesthesia related complications	0
549	1630	589	the frequency of fussing and crying of the infants	feeding	0
195	1983	82	nutrition knowledge	considered it a useful resource	0
119	173	182	the 15th percentile point	all densitometric indices	0
19	420	1042	detection of bilateral aerated middle ears (confirmed with tympanometry) at two consecutive monthly visits	normal ears	1
683	1816	851	pain and disability	pain	0
598	913	248	relative risk	intervention during labour and delivery	0
394	1479	598	safety climate, measured using the Safety Climate Survey	the mean safety climate scores for nurses	1
402	646	208	the EPDS (a 10-item scale developed for use in the postnatal period, in which a score ≥ 13 identifies probable depression 33 , and the physical and mental component scores (PCS and MCS) of the Short Form 36 (SF-36), a widely used general health status measure 34	Women's mental health scores	0
756	1936	58	changes compared to baseline observed after 4 weeks (40 sessions) of treatment, in parallel groups, on (1) Aberrant Behavior Checklist–Community (ABC) total score and subscale scores, based on the parent's or primary caretaker's rating, (2) Autism Treatment Evaluation Checklist (ATEC) total score and subscale scores, based on the parent's or primary caretaker's rating, and (3) Clinical Global Impression–Improvement (CGI) scale for changes in overall functioning and subscales, as rated by the parent or primary caretaker and also as rated separately by the treating physician (without knowledge of the parental ratings)	sensory/cognitive awareness	0
205	1273	126	the percentage of patients who had a CSTE	post-treatment biopsy	0
109	210	854	glycated hemoglobin A1c, body mass index (BMI), blood pressure, lipids and control criteria during the 2-year follow-up period	Glycated hemoglobin A1c	0
669	998	335	sRaw	oscillometry measurements of resistance and reactance	0
262	1329	347	the percentage of children who had ≤ 4 days with pain and no missed activities during the previous month 41	days of pain	0
704	1839	1029	absence of abdominal or rectal palpable mass at physical examination	painful defecation	0
629	942	203	the EQ-5D utility	The mean incremental QALY	0
378	884	261	ACR 50 improvement	scores on the Health Assessment Questionnaire	0
473	1601	395	costs per quality adjusted life years (cost/QALY)	tube dependency	0
196	304	126	The median RTDI	long-term outcome	0
282	486	344	recurrence	the minimum	0
592	1701	530	intra-operative pain	pain control	0
565	861	940	changes in lifestyle according to established goals	dropout rates	0
704	1839	1029	no more painful defecation	the presence of an abdominal or rectal mass	0
136	200	464	the change in serum methylmalonic acid (MMA) levels after one month of treatment	haematological signs of B12 deficiency	0
216	379	1052	day-28 failure rates (uncorrected and PCR corrected)	efficacious	0
422	660	859	clinical response at the test-of-cure visit (14–35 days after therapy) for the m-mITT and ME populations	clinical cure rates at TOC	0
501	852	851	a reduction in depression	the number of exercise sessions completed	0
271	1457	354	the proportion of patients who reported being sexually active at six months compared to randomization	bothered by the impact of kidney disease on their sex life	0
720	1867	605	spontaneous preterm delivery between 34 and 37 weeks' gestation	spontaneous premature birth at < 34 and < 37 weeks' gestation	1
418	655	102	attitudes, knowledge and skills in EBM	attitude scores	0
748	1931	636	 attitudes towards EBM; personal application and current use of EBM; EBM knowledge; future use of EBM	effective	0
11	1028	403	the PCR-adjusted parasitological cure rate up to day 42 of the follow-up period	late clinical or parasitological failure	0
176	1241	147	the duration of severe neutropenia (DSN) in cycle 1	Toxicities	0
378	884	261	ACR 50 improvement	the Disease Activity Score 28	0
581	1668	768	the Freezing of Gait Questionnaire	freezing	1
361	1436	651	gastric emptying T half	oxidative stress	0
289	493	405	self-rated overall effect of treatment, measured once; on the day treatment was completed	EQ-5D utility score	0
87	1107	74	treatment preference	The mean (SD) number of weeks with satisfactory relief of symptoms	0
238	399	1103	biochemically verified 7-day point prevalence smoking abstinence defined as no cigarettes (not even a puff) in the previous 7 days at Week 26, validated using salivary cotinine collected at Week 26	the feasibility of recruiting and enrolling African American light smokers into a clinical treatment trial involving biological data collection and genetic analyses	0
741	1898	1086	3 types of acute-care services, defined as hospitalizations, partial hospitalizations, and visits to emergency departments (EDs)	crisis services	0
216	1276	831	the number of clinical episodes of P. falciparum malaria	Time to first malaria episode	0
642	965	31	lung function	quality of life	0
33	50	569	IES-R	drop-out rates	0
631	1760	677	Biopsy proven acute rejection (BPAR) at 24 weeks	BPAR	1
423	1493	207	response rate	measures of height	0
422	1493	206	response rate	The response rate	1
378	884	261	ACR 50 improvement	patient's and physician's global assessments of disease activity	0
337	1458	752	a significant difference in mean birth weight	infants with a birth weight <2000 g	0
548	831	143	violent attitudes using the Total MVQ score	violent attitudes	1
146	221	531	a difference of ≥ 20% in the microvascular flow index of small vessels among groups	systemic hemodynamics	0
272	1457	355	the proportion of patients who reported being sexually active at six months compared to randomization	the burden of kidney disease on sex life	0
250	424	547	The Insomnia Severity Index (ISI) 32	sleep onset latency	0
699	1924	795	the anatomical knowledge (MCQ)	advantage concerning anatomical skills	0
495	770	540	the time until shock reversal	IL-10	0
161	226	931	the total MET minutes of moderate and vigorous physical activity accrued over the past 7 days	cost-effective	0
433	1494	47	Number of headache days over a 12 week period (item A MIDAS questionnaire)	the number of migraine like headaches at 12 weeks	1
506	1577	818	the average FEV 1 from the first intake of study drug to the measurement at 90 minutes	patient assessment of medication effectiveness	0
463	1528	341	the Patient Reported Physician Cultural Competency (PRPCC) Scale	systolic blood pressure	0
310	513	198	Early Treatment Failure (ETF); Late Clinical Failure (LCF); Late Parasitological Failure (LPF); Adequate Clinical and Parasitological Response (ACPR) 18	tolerance	0
381	1454	35	the incidence of oxygen desaturations defined as a decrease in oxygen saturation ≥ 5%, assessed by continuous pulse oxymetry, at any time between the start of the induction sequence and two minutes after the completion of the intubation	extent of oxygen desaturations	0
705	1839	1031	1) defecation frequency > 3/week; 2) normalization of stool consistency; 3) no more painful defecation; 4) absence of abdominal or rectal palpable mass at physical examination	hard stools	0
178	262	839	the determination of the perioperative concentration of IL-1β in the patient's peritoneal fluid	Cytokine values	0
195	304	125	The median RTDI	OS	0
561	861	934	changes in lifestyle according to established goals	their aerobic capacity	0
86	128	657	good clinical and biological tolerability	well-tolerated	1
421	655	105	knowledge	knowledge	1
420	655	104	knowledge	a knowledge score	1
136	1883	194	number of oocytes	retrieved oocytes	1
314	1372	821	myocardial infarction	myocardial infarction	1
2	1001	385	the average efficacy over Seasons 1 and 2 for the prevention of culture-confirmed influenza illness due to influenza A or B virus strains antigenically matching those in the vaccine (ie vaccine-matched, culture-confirmed influenza; VMCCI)	immunogenic	0
126	190	187	all-cause mortality over 3 years	the risk of death	0
96	141	192	coma recovery time	sit unsupported	0
754	1936	56	Aberrant Behavior Checklist–Community (ABC) total score and subscale scores, based on the parent's or primary caretaker's rating	speech	0
323	528	1019	GHbA1c	measures of insulin sensitivity	0
283	486	346	recurrence	The final pain score per patient	0
625	1731	258	change from baseline in fasting serum total cholesterol	glucose	0
553	854	333	time to achieve haemostasis at the suture line	mean drain volume	0
34	50	570	IES-R	the online working alliance	0
90	136	791	the hands-on time during the first three minutes of the cardiac arrest	Hands-on time	1
445	695	674	an ASAS40	AEs	0
603	920	442	change of lower leg volume, determined by water replacement plethysmometry	quality of life	0
325	1391	214	the proportion of delivered compressions within target depth compared over a 2-minute period within the groups and between the groups	Quality of CPR	0
194	304	121	the mean RTDI overall	Overall higher RTDI	1
43	1072	335	the recruitment rate	the median time (IQR) to complete all eight CCBT sessions	0
546	830	223	the change in morning peak expiratory flow (PEF) rate from baseline to the end of the treatment period (mean of weeks 23–24)	lung function	0
595	1707	535	CR	fatigue	0
673	1804	145	reversal of metabolic syndrome in the intervention group subjects compared to controls at 12 months follow-up	prescribing of statins and anti-hypertensives	0
318	528	1014	GHbA1c	quality of life	0
501	1569	894	change in summary lifestyle score (Prudence Score) and individual health behaviours at three months	type of spread used	0
390	632	215	WOMAC Pain, Physical Function and Total scores	Vitality	0
215	379	1051	day-28 failure rates (uncorrected and PCR corrected)	sulphadoxine-pyrimethamine failure	1
587	1683	109	the clinical and laboratory adverse event profile and the effect of ferroquine on the cardiovascular system	well-tolerated	0
277	1337	66	cumulative survival without mechanical ventilation or oxygen dependency at 30 days; mortality at 30 days; therapy failure; crossover rate; and persisting pulmonary problems defined as oxygen dependency or still being on a ventilator at 30 days	survival without oxygen or on ventilator	0
468	1536	397	tube dependency at one-year and number of post-CCRT hospital admission days	Quality adjusted life years	0
658	1962	884	trough FEV 1 after 12 weeks of treatment (average of the 23 h 10 min and 23 h 45 min post-dose values assessed on the morning of Day 85)	blood glucose levels	0
124	190	185	all-cause mortality over 3 years	the rate of exacerbations	0
390	632	215	WOMAC Pain, Physical Function and Total scores	hamstring strength in both legs	0
350	1429	734	the performance of the trial according to the revised CONSORT statement	completion rate	0
109	210	854	glycated hemoglobin A1c, body mass index (BMI), blood pressure, lipids and control criteria during the 2-year follow-up period	SBP	0
753	1936	55	changes compared to baseline observed after 4 weeks (40 sessions) of treatment, in parallel groups, on (1) Aberrant Behavior Checklist–Community (ABC) total score and subscale scores, based on the parent's or primary caretaker's rating, (2) Autism Treatment Evaluation Checklist (ATEC) total score and subscale scores, based on the parent's or primary caretaker's rating, and (3) Clinical Global Impression–Improvement (CGI) scale for changes in overall functioning and subscales, as rated by the parent or primary caretaker and also as rated separately by the treating physician (without knowledge of the parental ratings)	receptive language	0
668	1942	758	patient satisfaction	Functional outcome of the ankle joint	0
482	763	1059	success at quitting (expired CO ≤ 9 ppm), the dose of NRT used, and the rating of withdrawal symptoms using the Mood and Symptoms Scale	side effects	0
326	534	865	response rates	response rates to a postal health questionnaire	1
14	26	342	the Sum of Pain Intensity Differences (SPID) of the CSTP Intensity scale by the child	pain	1
78	1099	377	body weight	body weight	1
196	1983	83	nutrition knowledge	nutrition knowledge	1
498	1567	557	retention on treatment at 1 year	well tolerated	0
708	1843	665	Weight-for-age Z-score	pain experience	0
158	224	1067	general foot health	foot pain	0
340	1421	163	the rate of renal involvement at one year and the rate of acute gastrointestinal complications	intussusceptions	0
347	1428	537	pedometer step counts (Omron HJ-109E Step-O-Meter)	quality of life	0
704	1839	1029	1) defecation frequency > 3/week; 2) normalization of stool consistency; 3) no more painful defecation; 4) absence of abdominal or rectal palpable mass at physical examination	painful defecation	0
79	1099	378	body weight	%fat	0
19	420	1042	detection of bilateral aerated middle ears (confirmed with tympanometry) at two consecutive monthly visits	pneumococcal carriage	0
240	1313	563	Asthma control	ACQ score	1
152	223	830	change in weight from randomization (0-M) to 12 months post randomization	weight regain	1
188	1271	80	change in nutrition knowledge scores	Total nutrition knowledge score	1
249	424	546	The Insomnia Severity Index (ISI) 32	sleep onset latency	0
653	980	97	BMD	BMD at the femoral neck	1
596	913	246	Apgar scores less than 8	breastfeeding initiation	0
467	797	381	change in EPIC urinary HRQOL domain summary score at 3 months after the completion of RT (ΔEPIC-U 3mo )	PSA nadir	0
259	1328	269	DFS	the relapse risk	0
693	1834	795	The MC exam	advantage concerning anatomical skills	0
34	1052	15	Correlation between VPW measurements from the portable chest radiograph with the PAOP	PAOP	0
372	1444	142	the Premature Infant Pain Profile (PIPP) score in the first minute after skin puncture	No serious side effect	0
128	1161	826	The mean decrease in HAM-D score from baseline	anticholinergic effects	0
153	1219	671	disease-free survival (DFS)	the lipid profile	0
254	437	1078	comet assay	the DNA tail length	0
32	1052	12	Correlation between VPW measurements from the portable chest radiograph with the PAOP	PEEP	0
82	1103	956	global quality of life change at 6-weeks, measured by EORTC QLQ-C30	role functioning	0
256	440	632	the number of ECT treatments given	responded poorer	0
384	1463	263	the differences in the levels of iFGF23 and iPTH after each treatment period	the iFGF23 level	0
157	1257	560	RDQ	Average total costs	0
108	1588	944	extubated	reintubated	0
490	1952	16	Kinetic force platform gait analysis (PVF BW )	the MA intensity	0
739	1896	638	The plaque scores	inhibiting effect on the plaque regrowth	0
527	1602	61	Changes in MMSE sum score	time trend differences	0
266	1329	352	the percentage of children who had ≤ 4 days with pain and no missed activities during the previous month 41	The therapeutic efficacy	0
36	53	24	HSV-2 seroconversion during the study period	HSV-2 seroincidence	1
675	999	1035	Chlamydia screening rates	likely to log on to the course	0
464	1532	29	 appropriate osteoporosis management based on the 2002 clinical practice guidelines for osteoporosis in Canada 16	taking calcium (54% [54/101] vs 20% [20/100]; RR 2.67, 95% CI 1.74 to 4.12) and vitamin D	0
248	408	81	the recovery rate, defined as the percentage of patients who had an adequate clinical and parasitological response (ACPR) after follow-up for 28 days	tolerability	0
349	1429	733	the performance of the trial according to the revised CONSORT statement	well-being or bowel symptoms	0
759	1938	545	reduction in duration of severe pneumonia and pneumonia	wheeze	0
337	1458	752	a significant difference in mean birth weight	births <32 weeks)	0
725	1873	672	change in Treatment Satisfaction (Tables 5 and 6 ), change in Perceived Hyperglycaemia (Tables 7 and 8 ) and change in Perceived Hypoglycaemia (Tables 9 and 10 )	a Questionnaire × Ceiling interaction	0
38	1062	318	the comparison of the scores on the 12-Item Short-Form Health Survey (SF-12) and the Graded Chronic Pain Scale (GCPS) questionnaire for the two survey modes	mental health	0
201	1273	122	the percentage of patients who had a CSTE	median platelet counts	0
102	158	808	the mean number of detected polyps	the mean number of adenomas	0
77	1095	227	change from Baseline in ADAS-Cog scores	response to induced ketosis	0
518	808	489	incidence of vaginal delivery within 12 and 24 hours	spontaneous rupture of the membranes occurred	0
687	1833	1069	depression (Edinburgh Postnatal Depression Scale EPDS)	proportions of women with CAS scores ≥7	0
425	660	862	clinical response at the test-of-cure visit (14–35 days after therapy) for the m-mITT and ME populations	efficacious	0
752	1936	54	Clinical Global Impression–Improvement (CGI) scale for changes in overall functioning and subscales, as rated by the parent or primary caretaker and also as rated separately by the treating physician (without knowledge of the parental ratings)	eye contact	0
678	1811	505	the overall between-patient variability around the mean time to neurological assessment	awakening for neurological assessment	0
594	897	564	the SF-36 quality of life score	GHbA 1c	0
210	1274	1037	the incidence of predefined GI AEs	msSBP	0
150	221	535	a difference of ≥ 20% in the microvascular flow index of small vessels among groups	other factors (for example, volume status, timing, hemodynamics and progression of the disease)	0
744	1910	524	information satisfaction, anxiety during the screening process	desired more supportive information	0
78	126	833	changes in pain as measured on a verbal rating scale from 0 to 10 during a flexion-extension range of motion evaluation and changes in disc height as measured on CT scans	body mass index	0
452	707	1068	health-related quality of life (HRQoL)	Groningen Activity and Restriction scale	0
576	1659	315	response rate	cost-effective	0
206	360	87	the prevalence of arm, shoulder and neck symptoms	symptoms	1
343	1423	359	patient test preferences between versions of the decision aid	likely to choose colonoscopy	1
481	1541	594	ETDRS visual acuity recorded in the laboratory, supplemented with a number of secondary lab-based visual function measures	normal (100%), low (4%), and very low (0.1%) illumination log CS	0
595	1707	535	CR	nausea	0
144	215	48	The PCR-corrected ACPR rate at follow-up on day 28 after the first malaria episode	ACPR rate	1
752	1936	54	changes compared to baseline observed after 4 weeks (40 sessions) of treatment, in parallel groups, on (1) Aberrant Behavior Checklist–Community (ABC) total score and subscale scores, based on the parent's or primary caretaker's rating, (2) Autism Treatment Evaluation Checklist (ATEC) total score and subscale scores, based on the parent's or primary caretaker's rating, and (3) Clinical Global Impression–Improvement (CGI) scale for changes in overall functioning and subscales, as rated by the parent or primary caretaker and also as rated separately by the treating physician (without knowledge of the parental ratings)	eye contact	0
415	652	944	systemic haemodynamics	acid-base status	0
261	455	436	the generic instrument EuroQol-5D (EQ5D)	feasible	0
506	1577	818	the average FEV 1 from the first intake of study drug to the measurement at 90 minutes	treatment success	0
74	112	1073	claim duration (in days) during 12 months follow-up	functional status	0
767	1986	1042	daily physical activities (measured by a validated tri-axial accelerometer)	time spent sitting	0
115	166	351	the percentage of patients who reached 25(OH)D levels of 30 ng/ml or above on day 7	1,25(OH)D	0
412	652	941	systemic haemodynamics	systolic blood pressure (BP)	0
542	830	219	the change in morning peak expiratory flow (PEF) rate from baseline to the end of the treatment period (mean of weeks 23–24)	The end-study morning PEF rates	1
228	1289	861	the rate of success	the success rate of LPs	1
15	420	1038	'success'	success	1
359	1436	649	gastric emptying T half	gastric emptying parameters	1
505	1577	816	the average FEV 1 from the first intake of study drug to the measurement at 90 minutes	FEV 1	1
246	408	79	the recovery rate, defined as the percentage of patients who had an adequate clinical and parasitological response (ACPR) after follow-up for 28 days	apyrexial	0
124	1150	623	BP	diastolic BP	1
714	1862	923	pain severity	pain	1
392	634	511	patient intention to visit a psychosocial counselor	intention to visit a psychosocial counselor	1
420	1493	204	response rate	took part in the Link-Up Study	1
668	998	334	sRaw	the geometric mean sRaw at 12 hrs post dose	1
629	1745	1092	the cost of therapy per delivered baby, estimated according to a cost-minimization analysis	the delivery rate	0
26	1039	155	intestinal volume	harmful influences on the human body	0
45	77	797	VC	VC	1
250	1320	840	to determine the time from beginning the scenario to correct insertion of the laryngeal airway after the students' opinion	mean time to correct placement	1
96	141	192	time to sit unsupported	sit unsupported	1
557	1634	295	(1) the change in YBOCS score from baseline to endpoint and (2) the clinical global impression of improvement (CGI-I) at endpoint	the Yale-Brown Obsessive-Compulsive Scale	0
605	1717	365	school rule infractions	rule infractions	1
63	317	1004	the ORS scale	alliance	0
159	1394	628	the cure-markedly effective rate	adverse events	0
395	636	467	28-day all-cause mortality	The 28-day mortality rate	1
144	1200	0	Anthropometry at birth	birth weight	1
241	1313	564	Asthma control	Daily inhaled corticosteroid dose	0
714	1862	923	pain severity and knee range of motion (ROM)	pain	0
304	1362	93	Self-reported knee-specific stiffness, pain and function	overall health	0
751	1933	937	abstinence from illicit opiates at final prescription as indicated by a urine sample	visits to professional carers during detoxification	0
579	886	71	Major bleeding	the risk	0
536	814	651	to decrease reintubation rates, defined by the necessity of mechanical positive-pressure ventilation through orotracheal intubation in the first 48 hours after extubation, in the treatment group	the efficacy of NIV	0
767	1986	1042	daily physical activities (measured by a validated tri-axial accelerometer)	intensity of walking	0
556	1631	518	The proportion of recurrent parasitaemia's during the 4-week follow-up	proportion of cases with re-infections	0
658	1962	884	trough FEV 1 after 12 weeks of treatment (average of the 23 h 10 min and 23 h 45 min post-dose values assessed on the morning of Day 85)	QTc	0
16	420	1039	detection of bilateral aerated middle ears (confirmed with tympanometry) at two consecutive monthly visits	the proportion of children with i) perforation at the end of therapy (27% to 12% RD = -16% [-31,-1]), ii) recurrent perforation during therapy (18% to 4% RD = -14% [-25,-2])	0
600	1712	276	safety, tolerability and level at which dose limiting toxicity occurred	Dose limiting toxicity	0
634	945	781	the proportion of children aged 9-23 months completely vaccinated	coverage of the IPTi	0
524	813	297	the 11-point NRS in patients' daily pain diaries	Mean durations	0
110	210	855	body mass index (BMI)	BMI	1
70	396	801	force platform variables PVF and impulse, the validated HCPI and the use of rescue NSAIDs	force platform impulse	0
382	627	315	the ovicidal effect of the treatments, defined as no nymphal lice emerging from eggs between treatments	The cure rates per-protocol	0
719	1862	928	knee range of motion (ROM)	levels of pain	0
265	461	326	10-year CVD risk	estimated population CVD risk	1
65	108	800	force platform variables PVF and impulse, the HCPI and rescue NSAIDs	Quality of life VAS	0
615	1723	510	response rate, survey response bias, item non-response, and cost	the characteristics of online respondents	0
655	1962	881	trough FEV 1 after 12 weeks of treatment (average of the 23 h 10 min and 23 h 45 min post-dose values assessed on the morning of Day 85)	the percentage of days of poor control	0
256	1322	224	the Glasgow Outcome Scale score 3 months after brain injury	The mean intracranial pressure values	0
616	931	928	combined renal parameters	Interleukin-6	0
213	378	279	the duration of the weaning process	The duration of the automatic reduction of pressure support	0
311	513	200	Early Treatment Failure (ETF); Late Clinical Failure (LCF); Late Parasitological Failure (LPF); Adequate Clinical and Parasitological Response (ACPR) 18	simplicity of administration	0
273	1506	344	The observed change on the RDQ	pain intensity	0
428	672	484	response rate to treatment	The response rates (20% reduction in WOMAC pain)	1
314	1372	821	major adverse cardiac events (MACE) defined as a composite endpoint of cardiac death, myocardial infarction, and target vessel revascularization (TVR)	definite stent thrombosis	0
523	808	494	time from induction to delivery and incidence of vaginal delivery within 12 and 24 hours	abnormal FHR tracings	0
441	1852	634	(1) anti-malarial consumption recorded from routine statistics in ledger books of all HF before and after intervention; (2) anti-malarial prescription recorded during observed consultations in cross-sectional surveys conducted in all HF before and 18 months after m RDT implementation	Adherence to test result	0
596	913	246	Apgar scores less than 8	induction	0
315	522	434	the QTcF interval (QT interval corrected for heart rate using Fridericia's formula, QT/RR 0.33 )	the QT interval	1
500	1569	893	change in summary lifestyle score (Prudence Score)	The Prudence Score (10 items)	1
101	158	807	the mean number of detected polyps	the mean number of adenomas	0
578	1660	642	The number of destroyed alveolar attachments, expressed as a percentage over the total number of alveolar attachments,	alveolar attachments	1
426	661	1048	the incidence of clinically relevant VTE (symptomatic deep venous thrombosis (DVT) of the leg and/or pelvic and/or pulmonary embolism (PE)) within the first 3 months	risk of bleeding	0
582	891	496	improved PFS for the maintenance phase	PFS	1
424	1493	208	response rate	response rates	1
402	646	208	the EPDS (a 10-item scale developed for use in the postnatal period, in which a score ≥ 13 identifies probable depression 33 , and the physical and mental component scores (PCS and MCS) of the Short Form 36 (SF-36), a widely used general health status measure 34	EPDS score	0
314	522	433	the QTcF interval (QT interval corrected for heart rate using Fridericia's formula, QT/RR 0.33 )	maximal time-matched QTcF prolongation	1
141	207	528	educational achievement and anaemia	programme costs	0
518	808	489	time from induction to delivery and incidence of vaginal delivery within 12 and 24 hours	spontaneous rupture of the membranes occurred	0
384	1463	263	the differences in the levels of iFGF23	the iFGF23 level	1
274	1506	345	The observed change on the RDQ	satisfaction	0
476	739	127	gingival bleeding	Prevalence of gingival bleeding at follow-up	1
